127.0.0.1, 2014-07-16 22:17:58, GET, /ForCA/eval/filter, HTTP/1.1, 200, 3.437281
127.0.0.1, 2014-07-16 22:18:05, GET, /ForCA/eval/filter, HTTP/1.1, 200, 3.330980
127.0.0.1, 2014-07-16 22:18:13, GET, /ForCA/disc/list, HTTP/1.1, 200, 3.504952
127.0.0.1, 2014-07-16 22:18:18, GET, /ForCA/disc/create, HTTP/1.1, 200, 2.947154
127.0.0.1, 2014-07-16 22:18:31, POST, /ForCA/disc/create, HTTP/1.1, 200, 3.321308
127.0.0.1, 2014-07-16 22:18:37, GET, /ForCA/disc/list, HTTP/1.1, 200, 3.975273
127.0.0.1, 2014-07-16 22:18:45, GET, /ForCA/prof/list, HTTP/1.1, 200, 3.895918
127.0.0.1, 2014-07-16 22:18:49, GET, /ForCA/default/index, HTTP/1.1, 303, 2.235733
127.0.0.1, 2014-07-16 22:18:52, GET, /ForCA/profile/home, HTTP/1.1, 303, 2.578194
127.0.0.1, 2014-07-16 22:18:56, GET, /ForCA/prof/home, HTTP/1.1, 200, 3.840253
127.0.0.1, 2014-07-16 22:18:56, GET, /ForCA/static/profs/teste.jpg, HTTP/1.1, 404, 0.000635
127.0.0.1, 2014-07-16 22:19:10, GET, /ForCA/default/user/logout, HTTP/1.1, 303, 2.563620
127.0.0.1, 2014-07-16 22:19:12, GET, /ForCA/default/index, HTTP/1.1, 303, 2.088253
127.0.0.1, 2014-07-16 22:19:15, GET, /ForCA/default/home, HTTP/1.1, 200, 2.186126
127.0.0.1, 2014-07-16 22:44:28, GET, /, HTTP/1.1, 500, 6.255430
127.0.0.1, 2014-07-16 22:44:29, GET, /favicon.ico, HTTP/1.1, 400, 0.001037
127.0.0.1, 2014-07-16 22:44:30, GET, /admin/default/ticket/ForCA/127.0.0.1.2014-07-16.22-44-22.e8125334-2730-4414-b68a-7e9bcf89926f, HTTP/1.1, 200, 0.124620
127.0.0.1, 2014-07-16 22:44:30, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000560
127.0.0.1, 2014-07-16 22:44:30, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000433
127.0.0.1, 2014-07-16 22:44:30, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.000387
127.0.0.1, 2014-07-16 22:44:30, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000468
127.0.0.1, 2014-07-16 22:44:30, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000387
127.0.0.1, 2014-07-16 22:44:30, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.003159
127.0.0.1, 2014-07-16 22:44:30, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.004140
127.0.0.1, 2014-07-16 22:44:30, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000542
127.0.0.1, 2014-07-16 22:44:30, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000351
127.0.0.1, 2014-07-16 22:44:30, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.001326
127.0.0.1, 2014-07-16 22:44:31, GET, /admin/static/images/header_bg.png, HTTP/1.1, 304, 0.001666
127.0.0.1, 2014-07-16 22:44:31, GET, /admin/static/images/start.png, HTTP/1.1, 304, 0.001107
127.0.0.1, 2014-07-16 22:44:31, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 304, 0.000574
127.0.0.1, 2014-07-16 22:44:31, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 304, 0.002099
127.0.0.1, 2014-07-16 22:44:31, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 304, 0.001155
127.0.0.1, 2014-07-16 22:44:31, GET, /admin/static/images/menu.png, HTTP/1.1, 304, 0.000374
127.0.0.1, 2014-07-16 22:44:31, GET, /admin/static/images/small_button.png, HTTP/1.1, 304, 0.000536
127.0.0.1, 2014-07-16 22:44:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000826
127.0.0.1, 2014-07-16 22:45:47, GET, /, HTTP/1.1, 500, 2.169258
127.0.0.1, 2014-07-16 22:45:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000387
127.0.0.1, 2014-07-16 22:45:49, GET, /admin/default/ticket/ForCA/127.0.0.1.2014-07-16.22-45-45.44af9f5f-154b-4729-879c-80647106f2eb, HTTP/1.1, 200, 0.070218
127.0.0.1, 2014-07-16 22:45:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000308
127.0.0.1, 2014-07-16 22:46:17, GET, /ForCA/default/user/login, HTTP/1.1, 500, 2.188843
127.0.0.1, 2014-07-16 22:46:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000328
